Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11
17/9/24;Milan;0;3;3;25;2;Liverpool;8;2;49;446;83;9;2;0;2;1;0;1;0;0;1;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Strahinja Pavlović;Defensor;Theo Hernández;Defensor;Youssouf Fofana;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Christian Pulisic;Mediocampista;Tijjani Reijnders;Mediocampista;Rafael Leão;Mediocampista;Álvaro Morata;Delantero
14/9/24;Milan;4;0;9;25;81;Venezia;12;8;62;571;91;12;1;0;6;4;0;4;1;0;0;0;1;Mike Maignan;Portero;Emerson Royal;Defensor;Matteo Gabbia;Defensor;Strahinja Pavlović;Defensor;Theo Hernández;Defensor;Tijjani Reijnders;Mediocampista;Youssouf Fofana;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Christian Pulisic;Delantero;Tammy Abraham;Delantero;Rafael Leão;Delantero
31/8/24;Milan;4;3;8;25;71;Lazio;10;4;59;517;88;9;2;0;7;1;1;2;0;1;0;1;0;Mike Maignan;Portero;Emerson Royal;Defensor;Fikayo Tomori;Defensor;Strahinja Pavlović;Defensor;Filippo Terracciano;Defensor;Youssouf Fofana;Mediocampista;Tijjani Reijnders;Mediocampista;Samuel Chukwueze;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Christian Pulisic;Mediocampista;Noah Okafor;Delantero
24/8/24;Milan;4;3;3;25;76;Parma;17;5;61;551;88;13;3;0;9;0;1;1;0;0;1;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Strahinja Pavlović;Defensor;Theo Hernández;Defensor;Yunus Musah;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Noah Okafor;Delantero
17/8/24;Milan;4;3;2;25;73;Torino;26;6;56;493;91;10;3;0;9;0;2;2;0;1;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Malick Thiaw;Defensor;Alexis Saelemaekers;Defensor;Ismaël Bennacer;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Samuel Chukwueze;Mediocampista;Christian Pulisic;Mediocampista;Rafael Leão;Mediocampista;Luka Jović;Delantero
6/8/24;Milan;6;3;3;25;10;Barcelona;4;2;49;495;87;10;2;0;0;2;0;2;0;1;0;1;0;Lorenzo Torriani;Portero;Alexis Saelemaekers;Defensor;Fikayo Tomori;Defensor;Malick Thiaw;Defensor;Filippo Terracciano;Defensor;Yunus Musah;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Samuel Chukwueze;Mediocampista;Christian Pulisic;Mediocampista;Rafael Leão;Mediocampista;Luka Jović;Delantero
31/7/24;Milan;6;3;0;25;12;Real Madrid;11;4;52;510;90;16;1;0;1;0;1;1;1;0;0;0;1;Lorenzo Torriani;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Malick Thiaw;Defensor;Filippo Terracciano;Defensor;Ismaël Bennacer;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Samuel Chukwueze;Mediocampista;Mattia Liberali;Mediocampista;Alexis Saelemaekers;Mediocampista;Marco Nasti;Delantero
27/7/24;Milan;6;3;3;25;3;Manchester City;8;6;57;643;90;12;1;0;0;2;1;3;1;0;0;1;0;Lorenzo Torriani;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Matteo Gabbia;Defensor;Filippo Terracciano;Defensor;Alessandro Florenzi;Mediocampista;Ismaël Bennacer;Mediocampista;Samuel Chukwueze;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Alexis Saelemaekers;Mediocampista;Lorenzo Colombo;Delantero
31/5/24;Milan;6;9;3;25;74;Roma;24;7;46;540;91;2;0;0;5;1;1;2;0;0;1;1;0;Marco Sportiello;Portero;Alessandro Florenzi;Defensor;Davide Calabria;Defensor;Matteo Gabbia;Defensor;Pierre Kalulu;Defensor;Theo Hernández;Defensor;Tijjani Reijnders;Mediocampista;Yacine Adli;Mediocampista;Tommaso Pobega;Mediocampista;Alejandro Jiménez Sánchez;Mediocampista;Olivier Giroud;Delantero
25/5/24;Milan;4;3;17;25;607;Salernitana;23;11;67;535;87;6;0;0;13;2;1;3;0;1;0;0;1;Antonio Mirante;Portero;Davide Calabria;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Alessandro Florenzi;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ismaël Bennacer;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
18/5/24;Milan;4;0;29;25;73;Torino;16;4;61;432;86;14;1;0;8;0;1;1;0;0;1;1;0;Marco Sportiello;Portero;Pierre Kalulu;Defensor;Malick Thiaw;Defensor;Fikayo Tomori;Defensor;Filippo Terracciano;Defensor;Yunus Musah;Mediocampista;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Delantero;Luka Jović;Delantero;Noah Okafor;Delantero
11/5/24;Milan;4;3;4;25;79;Cagliari;17;10;67;642;90;11;2;0;6;1;4;5;1;0;0;0;1;Marco Sportiello;Portero;Pierre Kalulu;Defensor;Matteo Gabbia;Defensor;Malick Thiaw;Defensor;Alessandro Florenzi;Defensor;Tijjani Reijnders;Mediocampista;Yunus Musah;Mediocampista;Samuel Chukwueze;Mediocampista;Ismaël Bennacer;Mediocampista;Christian Pulisic;Mediocampista;Olivier Giroud;Delantero
5/5/24;Milan;4;3;2;25;83;Genoa;26;7;60;527;88;8;1;0;7;1;2;3;0;1;0;0;1;Marco Sportiello;Portero;Alessandro Florenzi;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Samuel Chukwueze;Mediocampista;Christian Pulisic;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
27/4/24;Milan;4;3;2;25;14;Juventus;9;0;49;449;87;4;1;0;4;0;0;0;0;1;0;1;0;Marco Sportiello;Portero;Yunus Musah;Defensor;Matteo Gabbia;Defensor;Malick Thiaw;Defensor;Alessandro Florenzi;Defensor;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
22/4/24;Milan;4;3;2;25;7;Inter;15;6;52;510;87;19;3;2;5;0;1;1;0;0;1;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Tijjani Reijnders;Mediocampista;Yacine Adli;Mediocampista;Yunus Musah;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Christian Pulisic;Mediocampista;Rafael Leão;Delantero
18/4/24;Milan;5;3;0;25;74;Roma;20;4;64;477;87;20;6;0;11;0;1;1;0;0;1;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Yunus Musah;Mediocampista;Ismaël Bennacer;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
14/4/24;Milan;4;3;3;25;593;Sassuolo;23;7;68;536;85;9;1;0;6;1;2;3;0;1;0;1;0;Marco Sportiello;Portero;Alessandro Florenzi;Defensor;Simon Kjær;Defensor;Malick Thiaw;Defensor;Theo Hernández;Defensor;Yacine Adli;Mediocampista;Yunus Musah;Mediocampista;Samuel Chukwueze;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Luka Jović;Delantero
11/4/24;Milan;5;3;0;25;74;Roma;25;5;54;517;91;14;3;0;9;0;0;0;0;0;1;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Matteo Gabbia;Defensor;Malick Thiaw;Defensor;Theo Hernández;Defensor;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
6/4/24;Milan;4;3;0;25;82;Lecce;16;8;65;625;91;8;1;0;5;2;1;3;1;0;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Samuel Chukwueze;Mediocampista;Christian Pulisic;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
30/3/24;Milan;4;3;3;25;70;Fiorentina;14;10;56;453;82;12;3;0;5;0;2;2;1;0;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Malick Thiaw;Defensor;Fikayo Tomori;Defensor;Alessandro Florenzi;Defensor;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Samuel Chukwueze;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
17/3/24;Milan;4;3;3;25;77;Hellas Verona;18;6;56;456;86;8;3;0;5;1;2;3;1;0;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Pierre Kalulu;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Noah Okafor;Delantero
14/3/24;Milan;5;3;3;25;96;Slavia Praga;12;6;62;575;91;12;3;0;5;3;0;3;1;0;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Yacine Adli;Mediocampista;Yunus Musah;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
10/3/24;Milan;4;3;17;25;75;Empoli;15;5;62;554;91;18;1;0;11;1;0;1;1;0;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Malick Thiaw;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Noah Okafor;Mediocampista;Luka Jović;Delantero
7/3/24;Milan;5;3;3;25;96;Slavia Praga;20;9;65;563;89;8;2;0;8;3;1;4;1;0;0;0;1;Mike Maignan;Portero;Alessandro Florenzi;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
1/3/24;Milan;4;3;0;25;71;Lazio;14;5;62;510;88;19;6;0;5;0;1;1;1;0;0;1;0;Mike Maignan;Portero;Alessandro Florenzi;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Ismaël Bennacer;Mediocampista;Yacine Adli;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
25/2/24;Milan;4;3;29;25;17;Atalanta;20;7;69;628;88;12;1;0;5;1;0;1;0;1;0;0;1;Mike Maignan;Portero;Alessandro Florenzi;Defensor;Malick Thiaw;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Yacine Adli;Mediocampista;Ismaël Bennacer;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
22/2/24;Milan;5;3;0;25;768;Rennes;8;5;44;353;80;10;2;0;2;1;1;2;0;0;1;1;0;Mike Maignan;Portero;Alessandro Florenzi;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Yunus Musah;Mediocampista;Rafael Leão;Mediocampista;Luka Jović;Delantero
18/2/24;Milan;4;3;17;25;80;Monza;16;6;51;469;84;10;1;1;3;0;2;2;0;0;1;1;0;Mike Maignan;Portero;Alessandro Florenzi;Defensor;Malick Thiaw;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Ismaël Bennacer;Mediocampista;Yacine Adli;Mediocampista;Samuel Chukwueze;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Noah Okafor;Mediocampista;Luka Jović;Delantero
15/2/24;Milan;5;3;1;25;768;Rennes;19;8;60;585;92;8;0;0;8;1;2;3;1;0;0;0;1;Mike Maignan;Portero;Alessandro Florenzi;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Yunus Musah;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
11/2/24;Milan;4;3;23;25;69;Napoli;10;6;40;389;79;9;1;0;1;1;0;1;1;0;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Yacine Adli;Mediocampista;Ismaël Bennacer;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
3/2/24;Milan;4;3;3;25;611;Frosinone;13;5;58;509;83;13;3;0;4;1;2;3;1;0;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
27/1/24;Milan;4;3;3;25;29;Bolonia;14;4;51;449;89;16;5;0;4;1;1;2;0;1;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
20/1/24;Milan;4;0;23;25;72;Udinese;15;7;70;550;85;9;1;0;7;1;2;3;1;0;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Ruben Loftus-Cheek;Mediocampista;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Delantero;Olivier Giroud;Delantero;Rafael Leão;Delantero
14/1/24;Milan;4;0;2;25;74;Roma;17;5;48;472;88;12;2;0;2;1;2;3;1;0;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Simon Kjær;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Ruben Loftus-Cheek;Mediocampista;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Delantero;Olivier Giroud;Delantero;Rafael Leão;Delantero
10/1/24;Milan;35;6;29;25;17;Atalanta;10;5;62;596;84;7;2;1;7;1;0;1;0;0;1;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Matteo Gabbia;Defensor;Theo Hernández;Defensor;Yunus Musah;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Tijjani Reijnders;Mediocampista;Alejandro Jiménez Sánchez;Mediocampista;Christian Pulisic;Delantero;Luka Jović;Delantero;Rafael Leão;Delantero
7/1/24;Milan;4;0;28;25;75;Empoli;13;6;65;622;90;13;2;0;6;2;1;3;1;0;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Simon Kjær;Defensor;Theo Hernández;Defensor;Alessandro Florenzi;Defensor;Ruben Loftus-Cheek;Mediocampista;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Delantero;Olivier Giroud;Delantero;Rafael Leão;Delantero
2/1/24;Milan;35;3;28;25;79;Cagliari;14;7;62;573;87;10;0;0;5;2;2;4;1;0;0;0;1;Antonio Mirante;Portero;Davide Calabria;Defensor;Jan-Carlo Simić;Defensor;Theo Hernández;Defensor;Alejandro Jiménez Sánchez;Defensor;Yacine Adli;Mediocampista;Tijjani Reijnders;Mediocampista;Samuel Chukwueze;Mediocampista;Luka Romero;Mediocampista;Chaka Traorè;Mediocampista;Luka Jović;Delantero
30/12/23;Milan;4;3;3;25;593;Sassuolo;20;2;59;513;88;8;0;0;6;0;1;1;1;0;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Simon Kjær;Defensor;Theo Hernández;Defensor;Alessandro Florenzi;Defensor;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
22/12/23;Milan;4;3;3;25;607;Salernitana;21;9;66;508;88;11;1;0;6;1;1;2;0;1;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Simon Kjær;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Ismaël Bennacer;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
17/12/23;Milan;4;6;17;25;80;Monza;17;9;44;418;87;8;1;0;4;2;1;3;1;0;0;0;1;Mike Maignan;Portero;Fikayo Tomori;Defensor;Simon Kjær;Defensor;Tommaso Pobega;Defensor;Alessandro Florenzi;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Tijjani Reijnders;Mediocampista;Theo Hernández;Mediocampista;Christian Pulisic;Delantero;Olivier Giroud;Delantero;Rafael Leão;Delantero
13/12/23;Milan;0;3;0;25;60;Newcastle;12;2;42;334;78;14;5;0;3;0;2;2;1;0;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Alessandro Florenzi;Defensor;Tijjani Reijnders;Mediocampista;Yunus Musah;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
9/12/23;Milan;4;0;29;25;17;Atalanta;14;4;58;577;86;11;3;1;4;1;1;2;0;0;1;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Alessandro Florenzi;Defensor;Ruben Loftus-Cheek;Mediocampista;Tijjani Reijnders;Mediocampista;Yunus Musah;Mediocampista;Samuel Chukwueze;Delantero;Olivier Giroud;Delantero;Christian Pulisic;Delantero
2/12/23;Milan;4;0;3;25;611;Frosinone;10;3;47;408;85;11;1;0;6;1;2;3;1;0;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Alessandro Florenzi;Defensor;Ruben Loftus-Cheek;Mediocampista;Tijjani Reijnders;Mediocampista;Yunus Musah;Mediocampista;Samuel Chukwueze;Delantero;Luka Jović;Delantero;Christian Pulisic;Delantero
28/11/23;Milan;0;3;3;25;11;Dortmund;17;4;54;502;90;10;1;0;10;1;0;1;0;0;1;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Malick Thiaw;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Tijjani Reijnders;Mediocampista;Yacine Adli;Mediocampista;Samuel Chukwueze;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Christian Pulisic;Mediocampista;Olivier Giroud;Delantero
25/11/23;Milan;4;3;3;25;70;Fiorentina;9;6;41;370;76;9;1;0;3;1;0;1;1;0;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Malick Thiaw;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Tijjani Reijnders;Mediocampista;Tommaso Pobega;Mediocampista;Samuel Chukwueze;Mediocampista;Yunus Musah;Mediocampista;Christian Pulisic;Mediocampista;Luka Jović;Delantero
11/11/23;Milan;4;3;0;25;82;Lecce;10;6;56;440;82;16;6;1;1;2;0;2;0;1;0;1;0;Mike Maignan;Portero;Davide Calabria;Defensor;Malick Thiaw;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Rade Krunić;Mediocampista;Tommaso Pobega;Mediocampista;Samuel Chukwueze;Mediocampista;Tijjani Reijnders;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
7/11/23;Milan;0;3;0;25;19;PSG;16;8;30;255;75;5;1;0;3;1;1;2;1;0;0;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Fikayo Tomori;Defensor;Malick Thiaw;Defensor;Theo Hernández;Defensor;Tijjani Reijnders;Mediocampista;Yunus Musah;Mediocampista;Christian Pulisic;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero
4/11/23;Milan;4;1;2;25;72;Udinese;14;4;73;549;89;12;1;0;11;0;0;0;0;0;1;0;1;Mike Maignan;Portero;Davide Calabria;Defensor;Malick Thiaw;Defensor;Fikayo Tomori;Defensor;Alessandro Florenzi;Defensor;Yunus Musah;Mediocampista;Rade Krunić;Mediocampista;Tijjani Reijnders;Mediocampista;Rafael Leão;Mediocampista;Olivier Giroud;Delantero;Luka Jović;Delantero
